index,instance_id,isDemo,num_agents,num_items,instance_size,value,allocation
10,51,0,2,4,8,"[[158, 526, 263, 53], [210, 158, 421, 211]]","[[0.0, 1.0, 0.0, 0.0], [1.0, 0.0, 1.0, 1.0]]"
11,52,0,2,3,6,"[[545, 91, 364], [416, 167, 417]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
12,53,0,2,3,6,"[[286, 357, 357], [250, 333, 417]]","[[1.0, 0.750751, 0.0], [0.0, 0.249249, 1.0]]"
13,61,0,2,10,20,"[[65, 548, 0, 0, 0, 0, 163, 0, 164, 60], [100, 100, 100, 100, 100, 100, 100, 100, 100, 100]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0], [1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]]"
14,85,0,3,4,12,"[[538, 231, 154, 77], [113, 270, 214, 403], [534, 233, 153, 80]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0], [0.0, 1.0, 1.0, 0.0]]"
15,94,0,2,3,6,"[[0, 1000, 0], [0, 1000, 0]]","[[1.0, 0.5, 1.0], [0.0, 0.5, 0.0]]"
16,110,0,2,7,14,"[[271, 406, 39, 83, 0, 142, 59], [338, 228, 0, 109, 166, 112, 47]]","[[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0], [1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]]"
17,135,0,3,4,12,"[[440, 288, 182, 90], [295, 374, 197, 134], [476, 231, 122, 171]]","[[1.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0]]"
18,164,0,3,8,24,"[[204, 169, 169, 72, 97, 72, 24, 193], [175, 175, 175, 75, 100, 75, 25, 200], [195, 171, 171, 73, 98, 73, 24, 195]]","[[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.167955], [0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.354484], [0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.477561]]"
19,166,0,2,9,18,"[[228, 156, 236, 17, 151, 66, 66, 46, 34], [243, 196, 196, 125, 52, 68, 48, 51, 21]]","[[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0], [1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]]"
20,179,0,2,4,8,"[[310, 0, 287, 403], [350, 86, 138, 426]]","[[0.687097, 0.0, 1.0, 0.0], [0.312903, 1.0, 0.0, 1.0]]"
21,187,0,2,3,6,"[[334, 333, 333], [334, 333, 333]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
22,202,0,4,10,40,"[[182, 164, 145, 127, 109, 91, 73, 18, 36, 55], [18, 73, 36, 55, 145, 127, 109, 182, 164, 91], [105, 140, 123, 53, 88, 35, 158, 53, 70, 175], [164, 127, 145, 109, 73, 55, 91, 18, 36, 182]]","[[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.551429], [0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.448571]]"
23,209,0,2,4,8,"[[184, 520, 0, 296], [192, 157, 440, 211]]","[[0.0, 1.0, 0.0, 1.0], [1.0, 0.0, 1.0, 0.0]]"
24,223,0,2,3,6,"[[899, 85, 16], [807, 149, 44]]","[[0.619579, 0.0, 0.0], [0.380421, 1.0, 1.0]]"
25,317,0,2,3,6,"[[349, 252, 399], [268, 342, 390]]","[[0.0, 0.0, 1.0], [1.0, 1.0, 0.0]]"
26,337,0,2,3,6,"[[1000, 0, 0], [1000, 0, 0]]","[[1.0, 1.0, 1.0], [0.0, 0.0, 0.0]]"
27,338,0,2,5,10,"[[39, 43, 106, 667, 145], [168, 0, 0, 549, 283]]","[[0.0, 1.0, 1.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0, 1.0]]"
28,340,0,3,3,9,"[[172, 601, 227], [1000, 0, 0], [342, 329, 329]]","[[0.0, 1.0, 0.0], [0.0, 0.0, 0.0], [1.0, 0.0, 1.0]]"
29,357,0,2,3,6,"[[624, 303, 73], [75, 229, 696]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
30,361,0,3,3,9,"[[0, 184, 816], [89, 0, 911], [0, 0, 1000]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.0, 1.0]]"
31,362,0,3,3,9,"[[352, 648, 0], [124, 808, 68], [196, 804, 0]]","[[0.607595, 0.0, 0.0], [0.392405, 0.0, 1.0], [0.0, 1.0, 0.0]]"
32,432,0,2,4,8,"[[0, 500, 500, 0], [400, 400, 200, 0]]","[[0.0, 0.75, 1.0, 0.0], [1.0, 0.25, 0.0, 1.0]]"
33,438,0,2,3,6,"[[231, 631, 138], [181, 368, 451]]","[[0.729282, 1.0, 0.0], [0.270718, 0.0, 1.0]]"
34,465,0,3,3,9,"[[44, 364, 592], [0, 0, 1000], [68, 386, 546]]","[[0.378342, 1.0, 0.0], [1.9984e-15, 0.0, 0.0], [0.621658, 0.0, 1.0]]"
35,481,0,2,3,6,"[[221, 440, 339], [511, 272, 217]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
36,503,0,3,3,9,"[[1000, 0, 0], [1000, 0, 0], [1000, 0, 0]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]"
37,522,0,2,3,6,"[[350, 98, 552], [98, 175, 727]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
38,537,0,2,3,6,"[[770, 61, 169], [218, 197, 585]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
39,549,0,2,3,6,"[[326, 222, 452], [155, 350, 495]]","[[0.967742, 1.0, 0.0], [0.0322581, 0.0, 1.0]]"
40,558,0,2,3,6,"[[333, 333, 334], [333, 334, 333]]","[[0.501502, 0.0, 1.0], [0.498498, 1.0, 0.0]]"
41,608,0,2,3,6,"[[700, 100, 200], [900, 0, 100]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
42,644,0,3,3,9,"[[684, 216, 100], [249, 713, 38], [73, 259, 668]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
43,662,0,2,3,6,"[[788, 48, 164], [53, 62, 885]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
44,693,0,2,3,6,"[[257, 452, 291], [678, 93, 229]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
45,760,0,2,3,6,"[[251, 479, 270], [245, 257, 498]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
46,765,0,3,3,9,"[[689, 311, 0], [364, 244, 392], [129, 432, 439]]","[[1.0, 0.0, 0.0], [0.0, 0.0, 0.928571], [0.0, 1.0, 0.0714286]]"
47,766,0,2,3,6,"[[287, 505, 208], [624, 206, 170]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
48,863,0,2,3,6,"[[146, 440, 414], [19, 587, 394]]","[[1.0, 0.0, 1.0], [0.0, 1.0, 0.0]]"
49,910,0,2,3,6,"[[476, 483, 41], [606, 252, 142]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
50,928,0,2,3,6,"[[206, 318, 476], [1000, 0, 0]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
51,975,0,2,4,8,"[[122, 263, 340, 275], [289, 131, 318, 262]]","[[0.0, 1.0, 1.0, 0.0], [1.0, 0.0, 0.0, 1.0]]"
52,980,0,2,3,6,"[[334, 333, 333], [326, 337, 337]]","[[1.0, 0.498498, 0.0], [0.0, 0.501502, 1.0]]"
53,999,0,3,3,9,"[[760, 0, 240], [177, 204, 619], [400, 395, 205]]","[[0.99375, 0.0, 0.0], [0.0, 0.0, 1.0], [0.00625, 1.0, 0.0]]"
54,1002,0,2,5,10,"[[76, 323, 179, 422, 0], [200, 200, 200, 200, 200]]","[[0.0, 1.0, 0.0, 1.0, 0.0], [1.0, 0.0, 1.0, 0.0, 1.0]]"
55,1008,0,2,3,6,"[[781, 93, 126], [110, 823, 67]]","[[1.0, 0.0, 1.0], [0.0, 1.0, 0.0]]"
56,1019,0,2,3,6,"[[279, 453, 268], [184, 348, 468]]","[[1.0, 0.908046, 0.0], [0.0, 0.091954, 1.0]]"
57,1064,0,2,3,6,"[[604, 147, 249], [358, 258, 384]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
58,1066,0,3,3,9,"[[191, 616, 193], [178, 187, 635], [244, 475, 281]]","[[0.0, 1.0, 0.0], [0.0, 0.0, 0.682088], [1.0, 0.0, 0.317912]]"
59,1105,0,3,17,51,"[[0, 0, 0, 0, 0, 0, 238, 0, 183, 86, 138, 0, 174, 0, 0, 0, 181], [110, 26, 21, 30, 17, 14, 31, 23, 31, 475, 30, 48, 40, 24, 40, 21, 19], [0, 10, 10, 10, 10, 0, 100, 300, 20, 20, 10, 10, 500, 0, 0, 0, 0]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
60,1156,0,2,3,6,"[[996, 2, 2], [996, 2, 2]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
61,1193,0,2,3,6,"[[589, 410, 1], [599, 400, 1]]","[[0.151104, 1.0, 1.0], [0.848896, 0.0, 0.0]]"
62,1198,0,2,3,6,"[[709, 290, 1], [714, 285, 1]]","[[0.294781, 1.0, 1.0], [0.705219, 0.0, 0.0]]"
63,1214,0,2,3,6,"[[116, 517, 367], [500, 0, 500]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 1.0]]"
64,1223,0,2,3,6,"[[306, 452, 242], [725, 80, 195]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
65,1241,0,2,5,10,"[[238, 149, 266, 126, 221], [220, 184, 213, 184, 199]]","[[1.0, 0.0, 1.0, 0.0, 0.0], [0.0, 1.0, 0.0, 1.0, 1.0]]"
66,1252,0,3,3,9,"[[72, 503, 425], [293, 397, 310], [313, 291, 396]]","[[0.0, 0.0, 1.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0]]"
67,1287,0,2,3,6,"[[1000, 0, 0], [314, 472, 214]]","[[1.0, 0.0, 0.0], [0.0, 1.0, 1.0]]"
68,1348,0,5,6,30,"[[153, 269, 384, 0, 0, 194], [0, 0, 0, 0, 0, 1000], [0, 0, 0, 200, 0, 800], [0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 1000]]","[[1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3125], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0625], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3125], [0.0, 0.0, 0.0, 0.0, 0.0, 0.3125]]"
69,1399,0,2,5,10,"[[376, 375, 14, 161, 74], [433, 370, 0, 88, 109]]","[[0.0, 1.0, 1.0, 1.0, 0.0], [1.0, 0.0, 0.0, 0.0, 1.0]]"
70,1407,0,3,3,9,"[[700, 100, 200], [334, 333, 333], [500, 50, 450]]","[[0.935428, 0.0, 0.0], [0.0, 1.0, 0.0323832], [0.0645724, 0.0, 0.967617]]"
71,1416,0,2,3,6,"[[159, 833, 8], [617, 255, 128]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 1.0]]"
72,1495,0,2,10,20,"[[165, 167, 167, 0, 0, 167, 0, 0, 167, 167], [143, 143, 0, 143, 143, 142, 143, 143, 0, 0]]","[[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0], [0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]]"
73,1545,0,2,8,16,"[[635, 87, 213, 24, 25, 4, 8, 4], [637, 85, 212, 25, 25, 4, 8, 4]]","[[0.250394, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0], [0.749606, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]"
74,1548,0,2,8,16,"[[676, 90, 225, 0, 0, 9, 0, 0], [807, 108, 0, 32, 32, 11, 5, 5]]","[[0.406805, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.593195, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]]"
75,1579,0,2,3,6,"[[494, 491, 15], [468, 450, 82]]","[[1.0, 0.0711111, 0.0], [0.0, 0.928889, 1.0]]"
76,1621,0,3,7,21,"[[228, 228, 106, 229, 0, 0, 209], [0, 0, 4, 0, 5, 0, 991], [0, 0, 0, 0, 0, 0, 1000]]","[[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
77,1635,0,2,3,6,"[[306, 171, 523], [741, 159, 100]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
78,1670,0,2,5,10,"[[511, 268, 155, 39, 27], [616, 0, 0, 118, 266]]","[[1.0, 1.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 1.0]]"
79,1675,0,2,4,8,"[[1000, 0, 0, 0], [1000, 0, 0, 0]]","[[0.0, 0.0, 0.0, 0.0], [1.0, 1.0, 1.0, 1.0]]"
80,1692,0,2,5,10,"[[289, 289, 43, 89, 290], [399, 400, 201, 0, 0]]","[[1.0, 0.0, 0.0, 1.0, 1.0], [0.0, 1.0, 1.0, 0.0, 0.0]]"
81,1703,0,3,3,9,"[[499, 499, 2], [499, 499, 2], [499, 499, 2]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 0.0], [0.0, 0.0, 1.0]]"
82,1716,0,2,4,8,"[[250, 250, 250, 250], [250, 250, 250, 250]]","[[1.0, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0]]"
83,1723,0,2,3,6,"[[417, 267, 316], [317, 334, 349]]","[[1.0, 0.0, 0.262658], [0.0, 1.0, 0.737342]]"
84,1726,0,2,4,8,"[[56, 122, 314, 508], [264, 339, 271, 126]]","[[0.0, 0.0, 1.0, 1.0], [1.0, 1.0, 0.0, 0.0]]"
85,1730,0,3,4,12,"[[211, 471, 158, 160], [55, 777, 66, 102], [230, 521, 0, 249]]","[[1.0, 0.0, 0.596154, 0.0], [0.0, 0.0, 0.403846, 1.0], [0.0, 1.0, 0.0, 0.0]]"
86,1745,0,2,3,6,"[[242, 462, 296], [565, 187, 248]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
87,1762,0,3,6,18,"[[603, 120, 12, 18, 241, 6], [542, 117, 18, 40, 274, 9], [488, 123, 16, 48, 313, 12]]","[[0.0, 1.0, 0.0, 0.0, 0.375497, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0, 0.624503, 1.0]]"
88,1765,0,2,3,6,"[[309, 548, 143], [369, 216, 415]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 1.0]]"
89,1766,0,2,5,10,"[[308, 192, 130, 62, 308], [290, 140, 140, 141, 289]]","[[0.244828, 1.0, 0.0, 0.0, 1.0], [0.755172, 0.0, 1.0, 1.0, 0.0]]"
90,1775,0,2,3,6,"[[334, 333, 333], [333, 334, 333]]","[[1.0, 0.0, 1.0], [0.0, 1.0, 0.0]]"
91,1815,0,2,3,6,"[[1000, 0, 0], [1000, 0, 0]]","[[0.5, 1.0, 1.0], [0.5, 0.0, 0.0]]"
92,1826,0,2,3,6,"[[14, 303, 683], [135, 334, 531]]","[[0.0, 0.0, 1.0], [1.0, 1.0, 0.0]]"
93,1842,0,3,5,15,"[[50, 240, 346, 258, 106], [0, 1000, 0, 0, 0], [0, 0, 1000, 0, 0]]","[[1.0, 0.0, 0.0, 1.0, 1.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0]]"
94,1843,0,3,4,12,"[[508, 404, 88, 0], [0, 64, 428, 508], [477, 25, 21, 477]]","[[0.301188, 1.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0], [0.698812, 0.0, 0.0, 0.0]]"
95,1850,0,3,5,15,"[[73, 565, 71, 271, 20], [73, 565, 71, 271, 20], [73, 565, 71, 271, 20]]","[[0.0, 1.0, 0.0, 0.0, 0.0], [1.0, 0.0, 1.0, 0.0, 1.0], [0.0, 0.0, 0.0, 1.0, 0.0]]"
96,1854,0,2,10,20,"[[533, 30, 51, 51, 2, 7, 14, 186, 100, 26], [564, 24, 57, 55, 2, 7, 15, 182, 94, 0]]","[[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
97,1866,0,3,3,9,"[[300, 330, 370], [300, 350, 350], [310, 340, 350]]","[[0.0, 0.0, 1.0], [0.0, 1.0, 0.0], [1.0, 0.0, 0.0]]"
98,1878,0,4,8,32,"[[181, 0, 0, 301, 0, 205, 119, 194], [22, 213, 258, 96, 237, 42, 0, 132], [242, 186, 137, 155, 132, 0, 0, 148], [172, 22, 103, 0, 225, 170, 168, 140]]","[[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0], [0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]]"
99,1883,0,3,3,9,"[[803, 197, 0], [0, 1000, 0], [700, 300, 0]]","[[1.0, 0.0, 0.0], [0.0, 0.4, 1.0], [0.0, 0.6, 0.0]]"
100,1891,0,2,4,8,"[[545, 33, 362, 60], [565, 0, 371, 64]]","[[0.0, 1.0, 1.0, 1.0], [1.0, 0.0, 0.0, 0.0]]"
101,1901,0,3,3,9,"[[700, 200, 100], [500, 400, 100], [250, 600, 150]]","[[0.0, 0.361702, 1.0], [1.0, 0.0, 0.0], [0.0, 0.638298, 0.0]]"
102,1933,0,2,3,6,"[[386, 79, 535], [487, 178, 335]]","[[0.0, 0.0, 1.0], [1.0, 1.0, 0.0]]"
103,1935,0,2,3,6,"[[334, 333, 333], [1000, 0, 0]]","[[0.0, 1.0, 1.0], [1.0, 0.0, 0.0]]"
104,1939,0,2,8,16,"[[156, 68, 68, 5, 16, 31, 432, 224], [257, 49, 68, 5, 18, 32, 376, 195]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.384615], [1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.615385]]"
105,1957,0,2,3,6,"[[500, 500, 0], [0, 500, 500]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
106,1958,0,2,3,6,"[[318, 495, 187], [7, 119, 874]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
107,1967,0,2,3,6,"[[0, 1000, 0], [0, 1000, 0]]","[[0.0, 0.0, 0.0], [1.0, 1.0, 1.0]]"
108,1968,0,3,5,15,"[[172, 272, 89, 162, 305], [90, 443, 164, 147, 156], [15, 271, 277, 267, 170]]","[[1.0, 0.0, 0.0, 0.0, 1.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 1.0, 0.0]]"
109,1973,0,2,3,6,"[[391, 157, 452], [424, 337, 239]]","[[0.0, 0.305732, 1.0], [1.0, 0.694268, 0.0]]"
110,1988,0,2,3,6,"[[536, 263, 201], [641, 188, 171]]","[[0.0671642, 1.0, 1.0], [0.932836, 0.0, 0.0]]"
111,1991,0,2,3,6,"[[244, 454, 302], [189, 179, 632]]","[[1.0, 1.0, 0.0], [0.0, 0.0, 1.0]]"
112,1998,0,2,3,6,"[[80, 799, 121], [109, 732, 159]]","[[0.0, 1.0, 0.0], [1.0, 0.0, 1.0]]"
113,2010,0,2,3,6,"[[329, 332, 339], [334, 334, 332]]","[[0.0, 0.0, 1.0], [1.0, 1.0, 0.0]]"
114,2027,0,2,7,14,"[[30, 64, 0, 278, 58, 520, 50], [0, 0, 0, 0, 0, 1000, 0]]","[[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
